#{"t_start": 1708443781.8848207, "env_id": "AdversarialAgent-v0"}
r,l,t
0.351439,1,98.857405
0.425341,1,98.947781
0.23247,1,99.043738
0.297242,1,99.141102
0.245648,1,99.231982
0.352183,1,99.322494
0.237865,1,99.407739
0.242252,1,99.491498
0.291451,1,99.573543
0.342381,1,99.658511
0.32671,1,99.744408
0.207913,1,99.823356
0.209406,1,99.904036
0.377482,1,99.990436
0.373998,1,100.088232
0.299229,1,100.172974
0.30668,1,100.254858
0.336086,1,105.476002
0.280114,1,105.562924
0.263084,1,105.649471
0.204992,1,105.741662
0.235826,1,105.831582
0.309494,1,105.920091
0.318205,1,106.008188
0.313421,1,106.102203
0.186699,1,106.191804
0.282199,1,106.282044
0.396719,1,106.388245
0.281573,1,106.4728
0.35357,1,106.557609
0.311731,1,106.638651
0.366226,1,106.719516
0.176836,1,106.80504
0.284812,1,106.885952
0.23283,1,106.973516
0.338378,1,107.057437
0.192442,1,107.142615
0.153214,1,112.57182
0.147691,1,112.754243
0.101105,1,112.921648
0.244183,1,113.058877
0.132385,1,113.199209
0.142102,1,113.322923
0.132816,1,113.500414
0.199121,1,113.622239
0.074365,1,113.781735
0.120524,1,113.939025
0.182626,1,114.066277
0.148982,1,114.218526
0.132831,1,114.387359
0.158631,1,114.525402
0.128031,1,114.666098
0.138317,1,114.836238
0.127127,1,114.982216
0.099802,1,115.131584
0.178378,1,115.271684
0.144017,1,115.417602
0.856353,1,119.95997
0.65912,1,120.065655
-46.017604,1,120.164081
-7.349416,1,120.27716
-0.580022,1,120.387886
0.68439,1,120.489562
8.022859,1,120.586233
-0.544003,1,120.693035
10.750835,1,120.79519
0.625889,1,120.884485
-1.068305,1,120.984197
-0.749522,1,121.108517
2.442706,1,121.197348
-0.673834,1,121.296814
1.419896,1,121.383907
0.997141,1,121.501945
0.490556,1,121.674448
4.812427,1,121.781892
-0.718799,1,121.876644
-1.430118,1,121.970436
0.150839,1,125.702147
0.121507,1,125.829903
0.217704,1,125.926245
0.108957,1,126.059364
0.062695,1,126.19526
0.131351,1,126.309101
0.113484,1,126.411551
0.056072,1,126.552892
0.130299,1,126.644678
0.085491,1,126.756993
0.16988,1,126.856825
0.098415,1,126.966787
0.110603,1,127.09146
0.101062,1,127.199806
0.123982,1,127.343071
0.130087,1,127.462717
0.058786,1,127.60399
0.21007,1,127.699913
0.091836,1,127.820855
0.110705,1,127.921737
