mass1,mass2,mass3
3.9269908169872427,2.7143360527015816,5.0893800988154645
8.008355140686035,8.517682075500488,2.1719348430633545
8.008355140686035,8.517682075500488,2.1719348430633545
2.704364776611328,8.761494636535645,1.7264891862869263
2.704364776611328,8.761494636535645,1.7264891862869263
8.48348331451416,6.740017890930176,2.4953534603118896
8.48348331451416,6.740017890930176,2.4953534603118896
5.964990615844727,5.062011241912842,2.5353469848632812
5.964990615844727,5.062011241912842,2.5353469848632812
1.8638421297073364,7.31119441986084,4.936466217041016
1.8638421297073364,7.31119441986084,4.936466217041016
4.299156665802002,8.52995777130127,1.16292405128479
4.299156665802002,8.52995777130127,1.16292405128479
2.450002670288086,2.7462189197540283,7.5314130783081055
2.450002670288086,2.7462189197540283,7.5314130783081055
5.040781497955322,1.6243667602539062,3.6631016731262207
5.040781497955322,1.6243667602539062,3.6631016731262207
2.879136562347412,6.075741767883301,1.4415640830993652
2.879136562347412,6.075741767883301,1.4415640830993652
3.995891571044922,9.304784774780273,3.993946075439453
3.995891571044922,9.304784774780273,3.993946075439453
1.9178098440170288,4.519751071929932,2.789689064025879
1.9178098440170288,4.519751071929932,2.789689064025879
8.513402938842773,8.686866760253906,7.058378219604492
8.513402938842773,8.686866760253906,7.058378219604492
3.533891201019287,1.519984245300293,4.700446605682373
3.533891201019287,1.519984245300293,4.700446605682373
1.616187572479248,9.398963928222656,2.6818346977233887
1.616187572479248,9.398963928222656,2.6818346977233887
7.815590858459473,5.567415237426758,4.312231063842773
7.815590858459473,5.567415237426758,4.312231063842773
6.922027587890625,6.602057456970215,5.1075215339660645
6.922027587890625,6.602057456970215,5.1075215339660645
6.49954080581665,4.359990119934082,2.1013526916503906
6.49954080581665,4.359990119934082,2.1013526916503906
1.9298561811447144,6.586067199707031,1.659030556678772
1.9298561811447144,6.586067199707031,1.659030556678772
8.395233154296875,7.0955047607421875,1.0292341709136963
8.395233154296875,7.0955047607421875,1.0292341709136963
5.632989883422852,7.486132621765137,2.727022886276245
5.632989883422852,7.486132621765137,2.727022886276245
2.597684860229492,7.862441539764404,7.279165267944336
2.597684860229492,7.862441539764404,7.279165267944336
8.148088455200195,2.7282562255859375,6.9488935470581055
8.148088455200195,2.7282562255859375,6.9488935470581055
9.652436256408691,8.132006645202637,8.496419906616211
9.652436256408691,8.132006645202637,8.496419906616211
8.501571655273438,5.479015827178955,9.195639610290527
8.501571655273438,5.479015827178955,9.195639610290527
8.633715629577637,9.592889785766602,9.898898124694824
8.633715629577637,9.592889785766602,9.898898124694824
6.80253791809082,4.920161247253418,9.657478332519531
6.80253791809082,4.920161247253418,9.657478332519531
5.284257411956787,7.236813068389893,5.50631046295166
5.284257411956787,7.236813068389893,5.50631046295166
6.399632453918457,1.018509864807129,8.510363578796387
6.399632453918457,1.018509864807129,8.510363578796387
1.2681103944778442,5.436130523681641,6.984000205993652
1.2681103944778442,5.436130523681641,6.984000205993652
8.989322662353516,5.811810493469238,9.102466583251953
8.989322662353516,5.811810493469238,9.102466583251953
4.074312686920166,3.090235710144043,2.6892800331115723
4.074312686920166,3.090235710144043,2.6892800331115723
3.8016319274902344,5.477721691131592,1.9743272066116333
3.8016319274902344,5.477721691131592,1.9743272066116333
3.769728660583496,8.350373268127441,3.86321759223938
3.769728660583496,8.350373268127441,3.86321759223938
2.7369296550750732,5.800680160522461,8.555257797241211
2.7369296550750732,5.800680160522461,8.555257797241211
7.91705322265625,9.566202163696289,7.37280797958374
7.91705322265625,9.566202163696289,7.37280797958374
7.595339775085449,8.883149147033691,3.4093194007873535
7.595339775085449,8.883149147033691,3.4093194007873535
4.085025787353516,8.73476505279541,7.490495681762695
4.085025787353516,8.73476505279541,7.490495681762695
8.98746395111084,2.7814528942108154,1.7074830532073975
8.98746395111084,2.7814528942108154,1.7074830532073975
4.913380146026611,3.31524920463562,4.911438941955566
4.913380146026611,3.31524920463562,4.911438941955566
4.643070697784424,8.6791353225708,1.1009774208068848
4.643070697784424,8.6791353225708,1.1009774208068848
5.82014274597168,8.449886322021484,4.123380184173584
5.82014274597168,8.449886322021484,4.123380184173584
3.780500888824463,2.1364755630493164,9.814332008361816
3.780500888824463,2.1364755630493164,9.814332008361816
5.7281951904296875,7.522005081176758,4.489880561828613
5.7281951904296875,7.522005081176758,4.489880561828613
7.329479217529297,4.383544921875,8.707029342651367
7.329479217529297,4.383544921875,8.707029342651367
6.481255054473877,3.061404228210449,5.7834367752075195
6.481255054473877,3.061404228210449,5.7834367752075195
8.442413330078125,9.191417694091797,2.2974741458892822
8.442413330078125,9.191417694091797,2.2974741458892822
6.951923847198486,2.225389242172241,8.61361312866211
6.951923847198486,2.225389242172241,8.61361312866211
6.856248378753662,5.761232376098633,9.757280349731445
6.856248378753662,5.761232376098633,9.757280349731445
9.946724891662598,8.52745246887207,7.281234264373779
9.946724891662598,8.52745246887207,7.281234264373779
3.265223741531372,4.772207736968994,6.06186056137085
3.265223741531372,4.772207736968994,6.06186056137085
8.65512752532959,2.1319568157196045,8.363795280456543
8.65512752532959,2.1319568157196045,8.363795280456543
5.25691556930542,2.5469839572906494,1.490757942199707
5.25691556930542,2.5469839572906494,1.490757942199707
4.336362361907959,3.5918593406677246,8.5684814453125
4.336362361907959,3.5918593406677246,8.5684814453125
6.460262298583984,6.422319412231445,3.794245481491089
6.460262298583984,6.422319412231445,3.794245481491089
6.953025817871094,4.470059871673584,5.429638385772705
6.953025817871094,4.470059871673584,5.429638385772705
5.182803630828857,6.7026753425598145,1.7014309167861938
5.182803630828857,6.7026753425598145,1.7014309167861938
2.364121913909912,4.472424030303955,1.801553726196289
2.364121913909912,4.472424030303955,1.801553726196289
7.565194129943848,5.243053436279297,7.073085784912109
7.565194129943848,5.243053436279297,7.073085784912109
9.849717140197754,9.942314147949219,3.871459722518921
9.849717140197754,9.942314147949219,3.871459722518921
7.486324310302734,4.859337329864502,5.20555305480957
7.486324310302734,4.859337329864502,5.20555305480957
6.635045051574707,8.482168197631836,9.48221492767334
6.635045051574707,8.482168197631836,9.48221492767334
3.6267645359039307,1.5074501037597656,6.502083778381348
3.6267645359039307,1.5074501037597656,6.502083778381348
9.698691368103027,1.4124325513839722,9.709179878234863
9.698691368103027,1.4124325513839722,9.709179878234863
9.509343147277832,8.185385704040527,8.50041389465332
9.509343147277832,8.185385704040527,8.50041389465332
4.672857761383057,6.330191612243652,5.9627532958984375
4.672857761383057,6.330191612243652,5.9627532958984375
2.5219430923461914,6.151956558227539,2.724090099334717
2.5219430923461914,6.151956558227539,2.724090099334717
5.7546539306640625,4.974940776824951,9.643783569335938
